Name,Number,Over,Batsman,Result,Runs,Dismissal Type,Dismissal Fielder,Notes,Innings,Match,Bowler
Match_1_Innings_1_Over_1_Delivery_1,1,Match_1_Innings_1_Over_1,Michael Jones,Dismissal,,LBW,,Michael Jones wicket taken,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_1_Delivery_2,2,Match_1_Innings_1_Over_1,Karen Garcia,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_1_Delivery_3,3,Match_1_Innings_1_Over_1,Karen Garcia,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_1_Delivery_4,4,Match_1_Innings_1_Over_1,Karen Garcia,Runs,2,,,2 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_1_Delivery_5,5,Match_1_Innings_1_Over_1,Karen Garcia,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_1_Delivery_6,6,Match_1_Innings_1_Over_1,Karen Garcia,Dismissal,,Stumped,Cory Richard,Karen Garcia wicket taken,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_2_Delivery_1,1,Match_1_Innings_1_Over_2,Andrea Murillo,Dismissal,,Stumped,Cory Richard,Andrea Murillo wicket taken,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_2_Delivery_2,2,Match_1_Innings_1_Over_2,Brian Nguyen,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_2_Delivery_3,3,Match_1_Innings_1_Over_2,Brian Nguyen,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_2_Delivery_4,4,Match_1_Innings_1_Over_2,Brian Nguyen,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_2_Delivery_5,5,Match_1_Innings_1_Over_2,Brian Nguyen,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_2_Delivery_6,6,Match_1_Innings_1_Over_2,Brian Nguyen,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_3_Delivery_1,1,Match_1_Innings_1_Over_3,Brian Nguyen,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_3_Delivery_2,2,Match_1_Innings_1_Over_3,Brian Nguyen,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_3_Delivery_3,3,Match_1_Innings_1_Over_3,Brian Nguyen,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_3_Delivery_4,4,Match_1_Innings_1_Over_3,Brian Nguyen,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_3_Delivery_5,5,Match_1_Innings_1_Over_3,Brian Nguyen,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_3_Delivery_6,6,Match_1_Innings_1_Over_3,Brian Nguyen,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Stephen Gonzalez
Match_1_Innings_1_Over_4_Delivery_1,1,Match_1_Innings_1_Over_4,Brian Nguyen,Dismissal,,LBW,,Brian Nguyen wicket taken,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_4_Delivery_2,2,Match_1_Innings_1_Over_4,Linda Donovan,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_4_Delivery_3,3,Match_1_Innings_1_Over_4,Linda Donovan,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_4_Delivery_4,4,Match_1_Innings_1_Over_4,Linda Donovan,Dismissal,,Bowler,,Linda Donovan wicket taken,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_4_Delivery_5,5,Match_1_Innings_1_Over_4,Cristina Richmond,Runs,1,,,1 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_4_Delivery_6,6,Match_1_Innings_1_Over_4,Cristina Richmond,Dot Ball,0,,,0 runs this delivery,Match_1_Innings_1,Match_1,Sandra Salazar
Match_1_Innings_1_Over_5_Delivery_1,1,Match_1_Innings_1_Over_5,Cristina Richmond,Runs,3,,,3 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_5_Delivery_2,2,Match_1_Innings_1_Over_5,Cristina Richmond,Runs,3,,,3 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
Match_1_Innings_1_Over_5_Delivery_3,3,Match_1_Innings_1_Over_5,Cristina Richmond,Runs,6,,,3 runs this delivery,Match_1_Innings_1,Match_1,Dana Spencer
