Name,Number,Inning,Bowler,Unable to finish,Notes,Match
Match_1_Innings_1_Over_1,1,Match_1_Innings_1,Stephen Gonzalez,No,5/2 score this over,Match_1
Match_1_Innings_1_Over_2,2,Match_1_Innings_1,Sandra Salazar,No,1/1 score this over,Match_1
Match_1_Innings_1_Over_3,3,Match_1_Innings_1,Stephen Gonzalez,No,4/0 score this over,Match_1
Match_1_Innings_1_Over_4,4,Match_1_Innings_1,Sandra Salazar,No,2/2 score this over,Match_1
Match_1_Innings_1_Over_5,5,Match_1_Innings_1,Dana Spencer,No,21/0 score this over,Match_1
Match_1_Innings_1_Over_6,6,Match_1_Innings_1,Nicole Salas,No,8/0 score this over,Match_1
Match_1_Innings_1_Over_7,7,Match_1_Innings_1,Sandra Salazar,No,21/0 score this over,Match_1
Match_1_Innings_1_Over_8,8,Match_1_Innings_1,Stephen Gonzalez,No,6/0 score this over,Match_1
Match_1_Innings_1_Over_9,9,Match_1_Innings_1,Stephen Gonzalez,No,1/0 score this over,Match_1
Match_1_Innings_1_Over_10,10,Match_1_Innings_1,Stephen Gonzalez,No,7/0 score this over,Match_1
Match_1_Innings_1_Over_11,11,Match_1_Innings_1,Sandra Salazar,No,2/0 score this over,Match_1
Match_1_Innings_1_Over_12,12,Match_1_Innings_1,Stephen Gonzalez,No,12/0 score this over,Match_1
Match_1_Innings_1_Over_13,13,Match_1_Innings_1,Nicole Church,No,2/0 score this over,Match_1
Match_1_Innings_1_Over_14,14,Match_1_Innings_1,Sandra Salazar,No,3/0 score this over,Match_1
Match_1_Innings_1_Over_15,15,Match_1_Innings_1,Nicole Church,No,27/0 score this over,Match_1
Match_1_Innings_1_Over_16,16,Match_1_Innings_1,Dana Spencer,No,23/0 score this over,Match_1
Match_1_Innings_1_Over_17,17,Match_1_Innings_1,Sandra Salazar,No,8/0 score this over,Match_1
Match_1_Innings_1_Over_18,18,Match_1_Innings_1,Nicole Church,No,1/0 score this over,Match_1
Match_1_Innings_1_Over_19,19,Match_1_Innings_1,Sandra Salazar,No,4/0 score this over,Match_1
Match_1_Innings_1_Over_20,20,Match_1_Innings_1,Dana Spencer,No,2/0 score this over,Match_1
Match_1_Innings_2_Over_1,1,Match_1_Innings_2,Sherri Salazar,No,7/4 score this over,Match_1
Match_1_Innings_2_Over_2,2,Match_1_Innings_2,Edwin Lynch,No,2/0 score this over,Match_1
Match_1_Innings_2_Over_3,3,Match_1_Innings_2,Joanne Espinoza,No,7/1 score this over,Match_1
Match_1_Innings_2_Over_4,4,Match_1_Innings_2,Charles Gregory,No,4/0 score this over,Match_1
Match_1_Innings_2_Over_5,5,Match_1_Innings_2,Sherri Salazar,No,4/0 score this over,Match_1
Match_1_Innings_2_Over_6,6,Match_1_Innings_2,Sherri Salazar,No,1/0 score this over,Match_1
Match_1_Innings_2_Over_7,7,Match_1_Innings_2,Sherri Salazar,No,4/0 score this over,Match_1
Match_1_Innings_2_Over_8,8,Match_1_Innings_2,Sherri Salazar,No,7/0 score this over,Match_1
Match_1_Innings_2_Over_9,9,Match_1_Innings_2,Joanne Espinoza,No,13/0 score this over,Match_1
Match_1_Innings_2_Over_10,10,Match_1_Innings_2,Sherri Salazar,No,1/0 score this over,Match_1
Match_1_Innings_2_Over_11,11,Match_1_Innings_2,Edwin Lynch,No,1/0 score this over,Match_1
Match_1_Innings_2_Over_12,12,Match_1_Innings_2,Edwin Lynch,No,15/0 score this over,Match_1
Match_1_Innings_2_Over_13,13,Match_1_Innings_2,Joanne Espinoza,No,6/0 score this over,Match_1
Match_1_Innings_2_Over_14,14,Match_1_Innings_2,Charles Gregory,No,4/0 score this over,Match_1
Match_1_Innings_2_Over_15,15,Match_1_Innings_2,Sherri Salazar,No,2/0 score this over,Match_1
Match_1_Innings_2_Over_16,16,Match_1_Innings_2,Edwin Lynch,No,11/0 score this over,Match_1
Match_1_Innings_2_Over_17,17,Match_1_Innings_2,Joanne Espinoza,No,3/0 score this over,Match_1
Match_1_Innings_2_Over_18,18,Match_1_Innings_2,Joanne Espinoza,No,12/0 score this over,Match_1
Match_1_Innings_2_Over_19,19,Match_1_Innings_2,Sherri Salazar,No,9/0 score this over,Match_1
Match_1_Innings_2_Over_20,20,Match_1_Innings_2,Joanne Espinoza,No,2/0 score this over,Match_1
Match_2_Innings_1_Over_1,1,Match_2_Innings_1,Sherri Salazar,No,2/4 score this over,Match_2
Match_2_Innings_1_Over_2,2,Match_2_Innings_1,Charles Gregory,No,3/2 score this over,Match_2
Match_2_Innings_1_Over_3,3,Match_2_Innings_1,Edwin Lynch,No,2/0 score this over,Match_2
Match_2_Innings_1_Over_4,4,Match_2_Innings_1,Edwin Lynch,No,15/0 score this over,Match_2
Match_2_Innings_1_Over_5,5,Match_2_Innings_1,Joanne Espinoza,No,2/1 score this over,Match_2
Match_2_Innings_1_Over_6,6,Match_2_Innings_1,Sherri Salazar,No,30/0 score this over,Match_2
Match_2_Innings_1_Over_7,7,Match_2_Innings_1,Charles Gregory,No,2/0 score this over,Match_2
Match_2_Innings_1_Over_8,8,Match_2_Innings_1,Raymond Moore,No,1/0 score this over,Match_2
Match_2_Innings_1_Over_9,9,Match_2_Innings_1,Charles Gregory,No,4/0 score this over,Match_2
Match_2_Innings_1_Over_10,10,Match_2_Innings_1,Charles Gregory,No,3/0 score this over,Match_2
Match_2_Innings_1_Over_11,11,Match_2_Innings_1,Edwin Lynch,No,8/0 score this over,Match_2
Match_2_Innings_1_Over_12,12,Match_2_Innings_1,Raymond Moore,No,9/0 score this over,Match_2
Match_2_Innings_1_Over_13,13,Match_2_Innings_1,Raymond Moore,No,1/0 score this over,Match_2
Match_2_Innings_1_Over_14,14,Match_2_Innings_1,Sherri Salazar,No,2/0 score this over,Match_2
Match_2_Innings_1_Over_15,15,Match_2_Innings_1,Raymond Moore,No,13/0 score this over,Match_2
Match_2_Innings_1_Over_16_UTF,16,Match_2_Innings_1,Edwin Lynch,Yes,2/0 score this over,Match_2
Match_2_Innings_1_Over_16_Completed,16,Match_2_Innings_1,Joanne Espinoza,No,5/0 score this over,Match_2
Match_2_Innings_1_Over_17,17,Match_2_Innings_1,Joanne Espinoza,No,45/0 score this over,Match_2
Match_2_Innings_1_Over_18,18,Match_2_Innings_1,Joanne Espinoza,No,10/0 score this over,Match_2
Match_2_Innings_1_Over_19,19,Match_2_Innings_1,Charles Gregory,No,30/0 score this over,Match_2
Match_2_Innings_1_Over_20,20,Match_2_Innings_1,Edwin Lynch,No,3/0 score this over,Match_2
Match_2_Innings_2_Over_1,1,Match_2_Innings_2,Johnny Moore,No,2/2 score this over,Match_2
Match_2_Innings_2_Over_2,2,Match_2_Innings_2,Jeanette Hampton,No,10/0 score this over,Match_2
Match_2_Innings_2_Over_3,3,Match_2_Innings_2,Jeanette Hampton,No,1/5 score this over,Match_2
Match_2_Innings_2_Over_4,4,Match_2_Innings_2,Jeanette Hampton,No,5/0 score this over,Match_2
Match_2_Innings_2_Over_5,5,Match_2_Innings_2,Rhonda Johnson,No,30/2 score this over,Match_2
Match_2_Innings_2_Over_6,6,Match_2_Innings_2,Jeanette Hampton,No,12/0 score this over,Match_2
Match_2_Innings_2_Over_7_UTF,7,Match_2_Innings_2,Johnny Moore,Yes,2/0 score this over,Match_2
Match_2_Innings_2_Over_7_Completed,7,Match_2_Innings_2,Rhonda Johnson,No,3/0 score this over,Match_2
Match_2_Innings_2_Over_8,8,Match_2_Innings_2,Jeanette Hampton,No,4/0 score this over,Match_2
Match_2_Innings_2_Over_9,9,Match_2_Innings_2,Johnny Moore,No,1/0 score this over,Match_2
Match_2_Innings_2_Over_10_UTF,10,Match_2_Innings_2,Connie Hernandez,Yes,5/0 score this over,Match_2
Match_2_Innings_2_Over_10_Completed,10,Match_2_Innings_2,Johnny Moore,No,9/0 score this over,Match_2
Match_2_Innings_2_Over_11,11,Match_2_Innings_2,Johnny Moore,No,2/0 score this over,Match_2
Match_2_Innings_2_Over_12,12,Match_2_Innings_2,Johnny Moore,No,15/0 score this over,Match_2
Match_2_Innings_2_Over_13,13,Match_2_Innings_2,David Fletcher,No,1/0 score this over,Match_2
Match_2_Innings_2_Over_14,14,Match_2_Innings_2,David Fletcher,No,9/0 score this over,Match_2
Match_2_Innings_2_Over_15,15,Match_2_Innings_2,Jeanette Hampton,No,3/0 score this over,Match_2
Match_2_Innings_2_Over_16,16,Match_2_Innings_2,David Fletcher,No,25/0 score this over,Match_2
Match_2_Innings_2_Over_17,17,Match_2_Innings_2,Connie Hernandez,No,6/0 score this over,Match_2
Match_2_Innings_2_Over_18,18,Match_2_Innings_2,Connie Hernandez,No,8/0 score this over,Match_2
Match_2_Innings_2_Over_19,19,Match_2_Innings_2,Connie Hernandez,No,11/0 score this over,Match_2
Match_2_Innings_2_Over_20,20,Match_2_Innings_2,Jeanette Hampton,No,12/0 score this over,Match_2
Match_3_Innings_1_Over_1,1,Match_3_Innings_1,Bianca Gibbs,No,14/2 score this over,Match_3
Match_3_Innings_1_Over_2,2,Match_3_Innings_1,Christopher Lee,No,3/1 score this over,Match_3
Match_3_Innings_1_Over_3,3,Match_3_Innings_1,Bianca Gibbs,No,5/2 score this over,Match_3
Match_3_Innings_1_Over_4,4,Match_3_Innings_1,Christopher Lee,No,23/0 score this over,Match_3
Match_3_Innings_1_Over_5,5,Match_3_Innings_1,Roger Fitzgerald,No,11/0 score this over,Match_3
Match_3_Innings_1_Over_6,6,Match_3_Innings_1,Roger Fitzgerald,No,1/0 score this over,Match_3
Match_3_Innings_1_Over_7,7,Match_3_Innings_1,Bianca Gibbs,No,7/0 score this over,Match_3
Match_3_Innings_1_Over_8_UTF,8,Match_3_Innings_1,Alyssa Marks,Yes,2/0 score this over,Match_3
Match_3_Innings_1_Over_8_Completed,8,Match_3_Innings_1,Bianca Gibbs,No,5/0 score this over,Match_3
Match_3_Innings_1_Over_9,9,Match_3_Innings_1,Roger Fitzgerald,No,1/0 score this over,Match_3
