Name,Venue
India,Kensington Oval
USA,Kensington Oval
Pakistan,Nassau County Stadium
Canada,Nassau County Stadium
Ireland,Grand Prairie Stadium
Australia,Central Broward Park
England,Central Broward Park
Scotland,Grand Prairie Stadium
Namibia,Daren Sammy Cricket Ground
Oman,Nassau County Stadium
West Indies,Providence Stadium
Afghanistan,Sir Vivian Richards Stadium
New Zealand,Nassau County Stadium
Uganda,Sir Vivian Richards Stadium
Papua New Guinea,Arnos Vale Stadium
South Africa,Sir Vivian Richards Stadium
Bangladesh,Central Broward Park
Sri Lanka,Brian Lara Cricket Academy
Netherlands,Brian Lara Cricket Academy
Nepal,Providence Stadium
