Name,Unit,Price Cycle,Price
EmdOLhPE9,146,Half-Yearly,12879.52
RU4nZsMmy,36,Monthly,2191.85
opw1BWG4U,220,Monthly,2414.46
bXXILvCxE,157,Half-Yearly,10001.58
BkdkHsU81,124,Yearly,24763.67
FrnGeVCMU,98,Yearly,29174.55
P9HFLBP4a,240,Half-Yearly,9434.96
JvfJYEdfZ,255,Monthly,2334.03
rSi7UWhqR,141,Half-Yearly,12045.09
wRAwsxmyS,188,Quarterly,5785.73
xrgKM6uQd,37,Half-Yearly,13482.83
VQg3DMZAw,198,Half-Yearly,10343.51
MMbcj6FY4,32,Yearly,29658.14
zqNCTBn1z,55,Yearly,19020.49
2TErmcupy,113,Quarterly,6513.41
RCYEDWtJN,34,Half-Yearly,14216.45
p6y8WjSqb,300,Half-Yearly,10874.27
2tzdf2VW0,83,Monthly,1941.69
p7q48bwiF,294,Half-Yearly,10275.89
5lwpsmmWQ,80,Yearly,23316.57
BXeSB41Lg,22,Quarterly,6658.05
dhl2lgD4B,208,Monthly,1906.12
LKZnbL9NA,127,Half-Yearly,11550.86
gnBZtdTcv,135,Half-Yearly,10658.4
8pWR0Rhy0,281,Yearly,22303.75
9nj9scL5k,14,Monthly,1990.94
2rZZj8NtW,53,Half-Yearly,13772.99
WIeCTS1gg,41,Half-Yearly,9067.36
Jc3e7cizU,283,Half-Yearly,11412.76
cBNdvXnYI,166,Quarterly,6702.78
K2LFvFEnz,106,Quarterly,6877.1
bAz8hz9lV,246,Yearly,18409.87
THbrPTTJt,51,Quarterly,5949.62
mU7RfHDx2,108,Quarterly,6631.21
U5VyYIXzE,262,Quarterly,6869.86
CBOT4nADQ,50,Half-Yearly,10822.87
q6DDhPD8M,284,Quarterly,6539.09
Z9ni65Pyy,47,Yearly,25572.68
vQUO87SFz,201,Half-Yearly,11663.46
PE3dictla,175,Yearly,20487.6
Tkng4QL7o,227,Monthly,2110.34
3i05AFbY2,170,Yearly,21595.51
GvcV3tbSe,248,Half-Yearly,10249.45
WSdU7bxDF,139,Quarterly,5974.36
jtFB7eDGi,299,Half-Yearly,11872.46
dqHjE5oR1,231,Monthly,2274.85
