Name,Description,Department,Degree Head,Administrative Email Address,Administrative Phone Number
BSc Computer Science,Study of computer systems and software.,Department of Computer Science,Dr. Ada Lovelace,bsc.cs@university.ac.uk,0123456789
MSc Computer Science,Advanced study in computer science.,Department of Computer Science,Dr. Charles Babbage,msc.cs@university.ac.uk,0123456790
PhD Computer Science,Doctoral research in computer science.,Department of Computer Science,Dr. Alan Turing,phd.cs@university.ac.uk,0123456791
BSc Mathematics,Study of mathematical theories and applications.,Department of Mathematics,Dr. Carl Friedrich Gauss,bsc.math@university.ac.uk,0123456792
MSc Mathematics,Advanced study in mathematics.,Department of Mathematics,Dr. Ada Lovelace,msc.math@university.ac.uk,0123456793
PhD Mathematics,Doctoral research in mathematics.,Department of Mathematics,Dr. Isaac Newton,phd.math@university.ac.uk,0123456794
BSc Physics,Study of the fundamental principles of the universe.,Department of Physics,Dr. Richard Feynman,bsc.physics@university.ac.uk,0123456795
MSc Physics,Advanced study in physics.,Department of Physics,Dr. Marie Curie,msc.physics@university.ac.uk,0123456796
PhD Physics,Doctoral research in physics.,Department of Physics,Dr. Albert Einstein,phd.physics@university.ac.uk,0123456797
BSc Chemistry,Study of substances and their interactions.,Department of Chemistry,Dr. Robert Boyle,bsc.chemistry@university.ac.uk,0123456798
MSc Chemistry,Advanced study in chemistry.,Department of Chemistry,Dr. Dmitri Mendeleev,msc.chemistry@university.ac.uk,0123456799
PhD Chemistry,Doctoral research in chemistry.,Department of Chemistry,Dr. Linus Pauling,phd.chemistry@university.ac.uk,0123456700
BSc Biology,Study of living organisms.,Department of Biology,Dr. Jane Goodall,bsc.biology@university.ac.uk,0123456701
MSc Biology,Advanced study in biology.,Department of Biology,Dr. Charles Darwin,msc.biology@university.ac.uk,0123456702
PhD Biology,Doctoral research in biology.,Department of Biology,Dr. Rosalind Franklin,phd.biology@university.ac.uk,0123456703
BA English Literature,Study of English language and literature.,Department of English Literature,Dr. Samuel Johnson,ba.english@university.ac.uk,0123456704
MA English Literature,Advanced study in English literature.,Department of English Literature,Dr. Virginia Woolf,ma.english@university.ac.uk,0123456705
PhD English Literature,Doctoral research in English literature.,Department of English Literature,Dr. William Wordsworth,phd.english@university.ac.uk,0123456706
BA History,Study of historical events and periods.,Department of History,Dr. Simon Schama,ba.history@university.ac.uk,0123456707
MA History,Advanced study in history.,Department of History,Dr. Mary Beard,ma.history@university.ac.uk,0123456708
PhD History,Doctoral research in history.,Department of History,Dr. Eric Hobsbawm,phd.history@university.ac.uk,0123456709
BSc Geography,Study of Earth's landscapes and environments.,Department of Geography,Dr. David Livingstone,bsc.geography@university.ac.uk,0123456710
MSc Geography,Advanced study in geography.,Department of Geography,Dr. Alfred Russel Wallace,msc.geography@university.ac.uk,0123456711
PhD Geography,Doctoral research in geography.,Department of Geography,Dr. Ellen Semple,phd.geography@university.ac.uk,0123456712
BSc Economics,Study of economic theories and practices.,Department of Economics,Dr. John Maynard Keynes,bsc.economics@university.ac.uk,0123456713
MSc Economics,Advanced study in economics.,Department of Economics,Dr. Adam Smith,msc.economics@university.ac.uk,0123456714
PhD Economics,Doctoral research in economics.,Department of Economics,Dr. Milton Friedman,phd.economics@university.ac.uk,0123456715
