Name,Degree,Module,Year,Degree Credit
CSE-656,BSc Computer Science,Re-Intermediate Rich Bandwidth,1,BSc Computer Science_Year_1
CSE-966,BSc Computer Science,Empower Revolutionary Markets,1,BSc Computer Science_Year_1
CSE-758,BSc Computer Science,Engage Transparent Convergence,1,BSc Computer Science_Year_1
CSE-554,BSc Computer Science,Reinvent Best-Of-Breed Experiences,1,BSc Computer Science_Year_1
CSE-457,BSc Computer Science,Facilitate Magnetic Synergies,1,BSc Computer Science_Year_1
CSE-287,BSc Computer Science,Redefine Distributed Vortals,1,BSc Computer Science_Year_1
CSE-935,BSc Computer Science,Leverage Revolutionary Web Services,1,BSc Computer Science_Year_1
CSE-200,BSc Computer Science,Generate Extensible Partnerships,1,BSc Computer Science_Year_1
CSE-340,BSc Computer Science,Disintermediate Bleeding-Edge Technologies,1,BSc Computer Science_Year_1
CSE-209,BSc Computer Science,Visualize Cross-Media Info-Mediaries,1,BSc Computer Science_Year_1
CSE-191,BSc Computer Science,Mesh Extensible Systems,2,BSc Computer Science_Year_2
CSE-181,BSc Computer Science,Orchestrate Extensible Vortals,2,BSc Computer Science_Year_2
CSE-798,BSc Computer Science,Enable Cross-Platform Methodologies,2,BSc Computer Science_Year_2
CSE-307,BSc Computer Science,Enhance Cutting-Edge Markets,2,BSc Computer Science_Year_2
CSE-925,BSc Computer Science,E-Enable Strategic Info-Mediaries,2,BSc Computer Science_Year_2
CSE-223,BSc Computer Science,Facilitate Cutting-Edge Experiences,2,BSc Computer Science_Year_2
CSE-839,BSc Computer Science,Mesh B2C Relationships,2,BSc Computer Science_Year_2
CSE-273,BSc Computer Science,Leverage End-To-End Methodologies,2,BSc Computer Science_Year_2
CSE-931,BSc Computer Science,Deploy Holistic Mindshare,2,BSc Computer Science_Year_2
CSE-926,BSc Computer Science,Extend Real-Time Solutions,2,BSc Computer Science_Year_2
CSE-277,BSc Computer Science,Harness Proactive Technologies,3,BSc Computer Science_Year_3
CSE-307,BSc Computer Science,Engage Bleeding-Edge Platforms,3,BSc Computer Science_Year_3
CSE-482,BSc Computer Science,Whiteboard Revolutionary Mindshare,3,BSc Computer Science_Year_3
CSE-689,BSc Computer Science,Syndicate Collaborative Platforms,3,BSc Computer Science_Year_3
CSE-631,BSc Computer Science,Integrate Front-End Platforms,3,BSc Computer Science_Year_3
CSE-436,BSc Computer Science,Maximize Extensible Models,3,BSc Computer Science_Year_3
CSE-105,BSc Computer Science,Orchestrate Leading-Edge E-Tailers,3,BSc Computer Science_Year_3
CSE-921,BSc Computer Science,Re-Intermediate Sticky E-Commerce,3,BSc Computer Science_Year_3
CSE-297,BSc Computer Science,Re-Intermediate Plug-And-Play E-Tailers,3,BSc Computer Science_Year_3
CSE-268,BSc Computer Science,Strategize Strategic Schemas,3,BSc Computer Science_Year_3
CSE-146,BSc Computer Science,Revolutionize Out-Of-The-Box Convergence,4,BSc Computer Science_Year_4
CSE-594,BSc Computer Science,E-Enable Granular Deliverables,4,BSc Computer Science_Year_4
CSE-383,BSc Computer Science,Engineer Rich Networks,4,BSc Computer Science_Year_4
CSE-323,BSc Computer Science,Deliver Out-Of-The-Box Experiences,4,BSc Computer Science_Year_4
CSE-195,BSc Computer Science,Deploy Back-End Systems,4,BSc Computer Science_Year_4
CSE-180,BSc Computer Science,Syndicate Clicks-And-Mortar Networks,4,BSc Computer Science_Year_4
CSE-915,BSc Computer Science,Repurpose End-To-End Technologies,4,BSc Computer Science_Year_4
CSE-141,BSc Computer Science,Enable Cross-Media Info-Mediaries,4,BSc Computer Science_Year_4
CSE-458,BSc Computer Science,Brand Scalable Bandwidth,4,BSc Computer Science_Year_4
CSE-788,BSc Computer Science,Transition Vertical E-Commerce,4,BSc Computer Science_Year_4
